"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3261","Login with ""empty username and password"" credentials","firefox","2026-04-06","passed","2026-04-06","Login > Login with ""<type>"" credentials","e2e\tests\features\login.feature.spec.js","",""
"","11226","Add a random product to cart","firefox","2026-04-06","passed","2026-04-06","Add product to cart","e2e\tests\features\cart.feature.spec.js","",""
"","9119","Add a random product to cart","webkit","2026-04-06","passed","2026-04-06","Add product to cart","e2e\tests\features\cart.feature.spec.js","",""
"","2754","Login with ""empty password"" credentials","firefox","2026-04-06","passed","2026-04-06","Login > Login with ""<type>"" credentials","e2e\tests\features\login.feature.spec.js","",""
"","2997","View Home","webkit","2026-04-06","passed","2026-04-06","Home","e2e\tests\features\home.feature.spec.js","",""
"","3931","Login with ""invalid password"" credentials","webkit","2026-04-06","passed","2026-04-06","Login > Login with ""<type>"" credentials","e2e\tests\features\login.feature.spec.js","",""
"","6954","Login with ""valid"" credentials","webkit","2026-04-06","passed","2026-04-06","Login > Login with ""<type>"" credentials","e2e\tests\features\login.feature.spec.js","",""
"","3234","Login with ""empty username and password"" credentials","webkit","2026-04-06","passed","2026-04-06","Login > Login with ""<type>"" credentials","e2e\tests\features\login.feature.spec.js","",""
"","3262","Login with ""invalid password"" credentials","chromium","2026-04-06","passed","2026-04-06","Login > Login with ""<type>"" credentials","e2e\tests\features\login.feature.spec.js","",""
"","2617","Login with ""empty username and password"" credentials","chromium","2026-04-06","passed","2026-04-06","Login > Login with ""<type>"" credentials","e2e\tests\features\login.feature.spec.js","",""
"","3084","Login with ""invalid username"" credentials","firefox","2026-04-06","passed","2026-04-06","Login > Login with ""<type>"" credentials","e2e\tests\features\login.feature.spec.js","",""
"","3197","Login with ""empty password"" credentials","webkit","2026-04-06","passed","2026-04-06","Login > Login with ""<type>"" credentials","e2e\tests\features\login.feature.spec.js","",""
"","2077","View header logo and store name","visual-chromium","2026-04-06","passed","2026-04-06","Home","e2e\tests\features\home.feature.spec.js","",""
"","3940","Login with ""empty username"" credentials","firefox","2026-04-06","passed","2026-04-06","Login > Login with ""<type>"" credentials","e2e\tests\features\login.feature.spec.js","",""
"","3618","Login with ""invalid username"" credentials","webkit","2026-04-06","passed","2026-04-06","Login > Login with ""<type>"" credentials","e2e\tests\features\login.feature.spec.js","",""
"","3683","View Home","chromium","2026-04-06","passed","2026-04-06","Home","e2e\tests\features\home.feature.spec.js","",""
"","5315","Login with ""valid"" credentials","chromium","2026-04-06","passed","2026-04-06","Login > Login with ""<type>"" credentials","e2e\tests\features\login.feature.spec.js","",""
"","3639","Login with ""empty username"" credentials","webkit","2026-04-06","passed","2026-04-06","Login > Login with ""<type>"" credentials","e2e\tests\features\login.feature.spec.js","",""
"","3943","Login with ""invalid username"" credentials","chromium","2026-04-06","passed","2026-04-06","Login > Login with ""<type>"" credentials","e2e\tests\features\login.feature.spec.js","",""
"","5756","Login with ""valid"" credentials","firefox","2026-04-06","passed","2026-04-06","Login > Login with ""<type>"" credentials","e2e\tests\features\login.feature.spec.js","",""
"","2089","Login with ""empty password"" credentials","chromium","2026-04-06","passed","2026-04-06","Login > Login with ""<type>"" credentials","e2e\tests\features\login.feature.spec.js","",""
"","4625","View Home","firefox","2026-04-06","passed","2026-04-06","Home","e2e\tests\features\home.feature.spec.js","",""
"","2258","Login with ""empty username"" credentials","chromium","2026-04-06","passed","2026-04-06","Login > Login with ""<type>"" credentials","e2e\tests\features\login.feature.spec.js","",""
"","3423","Login with ""invalid password"" credentials","firefox","2026-04-06","passed","2026-04-06","Login > Login with ""<type>"" credentials","e2e\tests\features\login.feature.spec.js","",""
"","8862","Add a random product to cart","chromium","2026-04-06","passed","2026-04-06","Add product to cart","e2e\tests\features\cart.feature.spec.js","",""
